"Nro"|"Titulo"|"Descripcion"|"Precio"|"Localidad"|"Ambientes"|"Superficie"|"Telefono"|"Link"
"2"|"A Pacheco  3400"|"Departamento en"|"USD 118.000"|"Villa Urquiza - Capital Federal"|"1"|"44 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7445683--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"3"|"Av Gral Diaz Velez 4200"|"Departamento en"|"USD 149.000"|"Almagro - Capital Federal"|"2"|"65 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7463333--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"4"|"Av F De Olazabal 4700"|"Departamento en"|"USD 127.300"|"Villa Urquiza - Capital Federal"|"1"|"50 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7434689--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"5"|"A Pacheco 2800"|"Departamento en"|"USD 100.000"|"Villa Urquiza - Capital Federal"|"1"|"No informa"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7442799--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"6"|"Domingo Albariño 3000"|"Departamento en"|"USD 52.500"|"Villa Lugano - Capital Federal"|"2"|"60,47 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7441521--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"7"|"Av Dr R Balbin 2500"|"Departamento en"|"USD 116.000"|"Belgrano - Capital Federal"|"1"|"50 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7440354--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"8"|"Avenida la plata  1400"|"Departamento en"|"USD 80.000"|"Boedo - Capital Federal"|"1"|"50 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7439053--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"9"|"Av. Córdoba 2700"|"Departamento en"|"USD 135.000"|"Barrio Norte - Capital Federal"|"2"|"57 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7433830--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"10"|"Colombres  100"|"Departamento en"|"USD 138.000"|"Almagro - Capital Federal"|"2"|"74 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7465542--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"11"|"Padilla 1000"|"Departamento en"|"USD 125.000"|"Villa Crespo - Capital Federal"|"1"|"48 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7464642--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"12"|"Tomas Antonio Valle 200"|"Departamento en"|"USD 121.000"|"Caballito - Capital Federal"|"1"|"46 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7455149--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"13"|"Tucuman 700"|"Departamento en"|"USD 68.000"|"Centro - Capital Federal"|"Monoambiente"|"37 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7466332--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"14"|"Patagones 2700"|"Departamento en"|"USD 134.000"|"Parque Patricios - Capital Federal"|"3"|"110 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7463293--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"15"|"Av. Segurola 1500"|"Departamento en"|"USD 77.000"|"Monte Castro - Floresta"|"Monoambiente"|"39 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7457014--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"16"|"Cnel R L Falcon 2300"|"Departamento en"|"USD 174.000"|"Flores - Capital Federal"|"3"|"80 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7446144--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"17"|"B Aizpurua 2500"|"Departamento en"|"USD 169.039"|"Urquiza R - Villa Urquiza"|"2"|"80 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7467474--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"18"|"B Aizpurua 2500"|"Departamento en"|"USD 72.033"|"Urquiza R - Villa Urquiza"|"1"|"38 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7467466--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"19"|"Avenida Juan de Garay 3700"|"Departamento en"|"No Informa"|"Boedo - Capital Federal"|"2"|"60 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7457587--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"20"|"J Beauchef 300"|"Departamento en"|"USD 135.000"|"Caballito - Capital Federal"|"2"|"55 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7465572--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"21"|"Pje R De Ibarrola 3100"|"Departamento en"|"USD 85.000"|"Villa Devoto - Capital Federal"|"1"|"50 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7457179--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"22"|"Av Directorio 1200"|"Departamento en"|"USD 235.000"|"Caballito Sur - Caballito"|"2"|"91 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7455366--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"23"|"M.T.de Alvear 700"|"Departamento en"|"USD 51.500"|"Retiro - Centro"|"Monoambiente"|"24 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7439211--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"24"|"Rep De Nicaragua 4700"|"Departamento en"|"USD 110.000"|"Palermo Soho - Palermo"|"2"|"71 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7442498--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"25"|"blanco encalada  2300"|"Departamento en"|"USD 132.000"|"Belgrano C - Belgrano"|"2"|"60 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7464741--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"26"|"Av. Santa Fe  5000"|"Departamento en"|"USD 72.000"|"Palermo - Capital Federal"|"1"|"32 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7463929--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"27"|"J Marmol 100"|"Departamento en"|"USD 80.000"|"Caballito - Capital Federal"|"2"|"40 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7465526--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"28"|"Pje F Rauch 3900"|"Departamento en"|"USD 60.000"|"Almagro Norte - Almagro"|"Monoambiente"|"36 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/6589535--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"29"|"Av Cramer 300"|"Departamento en"|"USD 72.000"|"Belgrano - Capital Federal"|"1"|"36 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7441438--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"30"|"No Informa"|"Departamento en"|"USD 72.000"|"Villa Lugano - Capital Federal"|"2"|"60 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7457223--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"31"|"Quesada 2700"|"Departamento en"|"USD 105.000"|"Belgrano - Capital Federal"|"1"|"47 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7458206--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"32"|"Leopoldo Marechal  800"|"Departamento en"|"USD 120.000"|"Caballito - Capital Federal"|"2"|"58 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7445552--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"33"|"Gral Jose G Artigas 3000"|"Departamento en"|"USD 125.000"|"Villa del Parque - Capital Federal"|"3"|"80 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7443882--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"34"|"Gral Venancio Flores 3700"|"Departamento en"|"USD 86.000"|"Floresta - Capital Federal"|"2"|"51 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7440487--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"35"|" 700"|"Departamento en"|"No Informa"|"Versalles - Capital Federal"|"Monoambiente"|"0 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7465131--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"36"|"Av Gral Ortiz De Ocampo 2500"|"Departamento en"|"USD 75.000"|"Recoleta - Barrio Norte"|"Monoambiente"|"33 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7437811--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"37"|"Pedernera 400"|"Departamento en"|"USD 65.000"|"Flores - Capital Federal"|"1"|"35 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/6555822--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"38"|"Charcas 5100"|"Departamento en"|"No Informa"|"Palermo - Capital Federal"|"Monoambiente"|"37 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7458211--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"39"|"Jorge L Borges 2200"|"Departamento en"|"USD 190.000"|"Palermo Soho - Palermo"|"4"|"80 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7457208--Departamento-de-5-Ambientes-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"40"|"No Informa"|"Departamento en"|"No Informa"|"Caballito - Capital Federal"|"2"|"71 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7451136--Departamento-de-3-Ambientes-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"41"|"Av B Rivadavia 5100"|"Departamento en"|"USD 85.000"|"Caballito - Capital Federal"|"2"|"53 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7437528--Departamento-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"42"|"J Melian "|"Departamento en"|"No Informa"|"Coghlan - Capital Federal"|"Monoambiente"|"35 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7469843--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
"43"|"Ernesto A Bavio "|"Departamento en"|"No Informa"|"Belgrano - Capital Federal"|"3"|"86 m²"|"No informa"|"http://www.argenprop.com/Propiedades/Detalles/7469841--Departamento-de-4-Ambientes-en-Venta-en-Capital-Federal?ViewNameResult=VistaResultados"
