"Nro"|"Titulo"|"Descripcion"|"Precio"|"Localidad"|"Ambientes"|"Superficie"|"Telefono"|"Link"
"2"|"Departamento en Venta | Capital Federal | Villa Urquiza | A Pacheco  al 3400 | Piso 4"|"Departamento de 2 ambientes en venta"|" USD 118.000"|"Villa Urquiza - Capital Federal"|"1"|"44 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7445683--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"3"|"Departamento en Venta | Santa Fe | Pdo. de Rosario | Rosario | Echesortu |  Zeballos  al 3600 | Piso 3"|"Duplex a estrenar"|" USD 95.000"|"Echesortu - Rosario"|"2"|"No informa"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7441463--Departamento-en-Venta-en-Pdo.-de-Rosario?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"4"|"Departamento en Venta | Buenos Aires | Pdo. de Tres De Febrero | Caseros | Bartolomé mitre  al 4800 | Piso 9"|"dueño dierecto vendo depto a estrenar"|" USD 55.000"|"Caseros - Buenos Aires"|"Monoambiente"|"41 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7467248--Departamento-en-Venta-en-Pdo.-de-Tres-De-Febrero?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"5"|"Departamento en Venta | Buenos Aires | Pdo. de José C. Paz | Jose Clemente Paz | J Newbery al 1100"|"DEPTO A ESTRENAR 2 AMBIENTES 45MTRS"|" $ 180.000"|"Jose Clemente Paz - Buenos Aires"|"No informa"|"42 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7466141--Departamento-en-Venta-en-Pdo.-de-Jos%C3%A9-C.-Paz?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"6"|"Departamento en Venta | Capital Federal | Almagro | Av Gral Diaz Velez al 4200 | Piso 4"|"Dueño Vende  Excelente Semipiso 3 Ambientes"|" USD 149.000"|"Almagro - Capital Federal"|"2"|"65 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7463333--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"7"|"Departamento en Venta | Buenos Aires | Pdo. de General San Martin | General San Martin | Centro | Cochabamba al 2400 | Piso P.B"|"VENDO DEPTO.EXCELENTE ESTADO/BAJAS EXPENSAS/ CON PATIO"|" USD 65.000"|"Centro - General San Martin"|"1"|"40 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7452925--Departamento-en-Venta-en-Pdo.-de-General-San-Martin?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"8"|"Departamento en Venta | Capital Federal | Villa Urquiza | Av F De Olazabal al 4700"|"EXCELENTES DPTOS DE 2 AMB A ESTRENAR VILLA URQUIZA"|" USD 127.300"|"Villa Urquiza - Capital Federal"|"1"|"50 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7434689--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"9"|"Departamento en Venta | Capital Federal | Villa Urquiza | A Pacheco al 2800"|"EXCLUSIVOS 2 AMB A ESTRENAR GRAN CATEGORÍA BALCÓN ATERRAZADO"|" USD 100.000"|"Villa Urquiza - Capital Federal"|"1"|"No informa"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7442799--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"10"|"Departamento en Venta | Capital Federal | Villa Lugano | Domingo Albariño al 3000 | Piso 7"|"DEPARTAMENTO 3 AMBIENTES BARRIO COPELLO VILLA LUGANO EXCELENTE ESTADO DIGNO DE VER"|" USD 52.500"|"Villa Lugano - Capital Federal"|"2"|"60,47 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7441521--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"11"|"Departamento en Venta | Capital Federal | Belgrano | Av Dr R Balbin al 2500 | Piso 8"|"Oportunidad 2 ambientes en 2 pisos belgrano r"|" USD 116.000"|"Belgrano - Capital Federal"|"1"|"50 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7440354--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"12"|"Departamento en Venta | Capital Federal | Boedo | Avenida la plata  al 1400 | Piso 2"|"venta de luminoso y amplio departamento"|" USD 80.000"|"Boedo - Capital Federal"|"1"|"50 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7439053--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"13"|"Departamento en Venta | Capital Federal | Barrio Norte | Av. Córdoba al 2700 | Piso 10"|"Excelente Oportunida!!! Or. Este Todo sol !!!"|" USD 135.000"|"Barrio Norte - Capital Federal"|"2"|"57 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7433830--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"14"|"Departamento en Venta | Capital Federal | Almagro | Colombres  al 100 | Piso pb"|"Depto Reciclado a Nuevo 3 AC frio calor"|" USD 138.000"|"Almagro - Capital Federal"|"2"|"74 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7465542--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"15"|"Departamento en Venta | Capital Federal | Villa Crespo | Padilla al 1000"|"Departamento 2 amb con cochera parrilla y solarium Villa Crespo"|" USD 125.000"|"Villa Crespo - Capital Federal"|"1"|"48 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7464642--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"16"|"Departamento en Venta | Capital Federal | Caballito | Tomas Antonio Valle al 200"|"CABALLITO A ESTRENAR AMENITIES 1 y 2 ambientes"|" USD 121.000"|"Caballito - Capital Federal"|"1"|"46 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7455149--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"17"|"Departamento en Venta | Capital Federal | Centro | Tucuman al 700 | Piso 10"|"Dueño vende 1 ambiente divisible, excelente estado, luminoso. Apto Profesional"|" USD 68.000"|"Centro - Capital Federal"|"Monoambiente"|"37 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7466332--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"18"|"Departamento en Venta | Capital Federal | Parque Patricios | Patagones al 2700 | Piso 2"|"Parque Patricios departamento de 4 ambientes al frente"|" USD 134.000"|"Parque Patricios - Capital Federal"|"3"|"110 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7463293--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"19"|"Departamento en Venta | Capital Federal | Floresta | Monte Castro | Av. Segurola al 1500 | Piso 3"|"MONOAMBIENTE SIN COMISION INMOBILIARIA -DUEÑO DIRECTO-"|" USD 77.000"|"Monte Castro - Floresta"|"Monoambiente"|"39 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7457014--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"20"|"Departamento en Venta | Capital Federal | Flores | Cnel R L Falcon al 2300"|"Departamento 4 Ambientes En Flores"|" USD 174.000"|"Flores - Capital Federal"|"3"|"80 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7446144--Departamento-en-Venta-en-Capital-Federal?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"21"|"Departamento en Venta | Buenos Aires | Pdo. de Vicente Lopez | La Lucila | La Lucila-Vias/Maipu | G Rawson al 3500 | Piso 1"|"Semipisos de Categoría en La Lucila"|" USD 355.000"|"La Lucila-Vias/Maipu - La Lucila"|"2"|"140 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7434862--Departamento-de-4-Ambientes-en-Venta-en-Pdo.-de-Vicente-Lopez?sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"22"|"Departamento en Venta | Capital Federal | Villa Urquiza | Urquiza R | B Aizpurua al 2500 | Piso 5"|"3 amb en tríplex con terraza y parrilla. 9 unidades. Venta directa."|" USD 169.039"|"Urquiza R - Villa Urquiza"|"2"|"80 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7467474--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
